Work Order #,Property,Unit,Vendor,Status,Created Date,Completed Date,Amount,Description,Trade
WO-001,123 Main St,101,HVAC Pro LLC,Completed,2024-01-15,2024-01-17,450.00,Replace HVAC filter and check refrigerant levels,HVAC
WO-002,456 Oak Ave,202,Plumbing Masters,Completed,2024-01-20,2024-01-22,280.00,Fix leaking kitchen faucet and replace p-trap,Plumbing
WO-003,789 Pine Rd,301,Electric Solutions,Completed,2024-02-01,2024-02-03,320.00,Replace tripped circuit breaker in panel,Electrical
WO-004,123 Main St,204,ProHandy Services,Completed,2024-02-10,2024-02-12,150.00,Patch drywall and repaint living room wall,General Handyman
WO-005,321 Elm St,102,HVAC Pro LLC,Completed,2024-02-15,2024-02-18,890.00,Install new HVAC unit - tenant complaint,HVAC
WO-006,456 Oak Ave,103,Plumbing Masters,Completed,2024-02-20,2024-02-21,195.00,Clear clogged main drain line,Plumbing
WO-007,789 Pine Rd,401,GreenLawn Co,Completed,2024-03-01,2024-03-02,120.00,Spring lawn treatment and edging,Landscaping
WO-008,555 Maple Dr,201,Plumbing Masters,Completed,2024-03-05,2024-03-07,340.00,Replace water heater - leaking,Plumbing
WO-009,123 Main St,303,Electric Solutions,Completed,2024-03-10,2024-03-11,175.00,Replace multiple faulty outlets in kitchen,Electrical
WO-010,321 Elm St,205,ApplianceFix Inc,Completed,2024-03-15,2024-03-17,265.00,Dishwasher not draining - replaced pump,Appliance Repair
WO-011,456 Oak Ave,304,HVAC Pro LLC,Completed,2024-03-20,2024-03-23,520.00,Annual HVAC service and filter replacement,HVAC
WO-012,789 Pine Rd,102,ProHandy Services,Completed,2024-03-25,2024-03-26,85.00,Repair broken cabinet hinges and door,General Handyman
WO-013,555 Maple Dr,105,PestAway LLC,Completed,2024-04-01,2024-04-02,180.00,Quarterly pest inspection and treatment,Pest Control
WO-014,123 Main St,202,Electric Solutions,Completed,2024-04-05,2024-04-06,210.00,Install GFCI outlets in bathrooms,Electrical
WO-015,321 Elm St,301,Plumbing Masters,Completed,2024-04-10,2024-04-12,450.00,Replace bathroom faucet and fix toilet flapper,Plumbing
WO-016,456 Oak Ave,401,GreenLawn Co,Completed,2024-04-15,2024-04-16,135.00,Mow and fertilize common area lawn,Landscaping
WO-017,789 Pine Rd,203,HVAC Pro LLC,Completed,2024-04-20,2024-04-22,380.00,AC not cooling - low refrigerant recharge,HVAC
WO-018,555 Maple Dr,302,ApplianceFix Inc,Completed,2024-04-25,2024-04-27,190.00,Refrigerator ice maker stopped working,Appliance Repair
WO-019,123 Main St,104,ProHandy Services,Completed,2024-05-01,2024-05-02,110.00,Replace broken window blinds in bedroom,General Handyman
WO-020,321 Elm St,103,Electric Solutions,Completed,2024-05-05,2024-05-07,295.00,Panel upgrade - add dedicated circuit for dryer,Electrical
